reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
OAK003.A0101_carpe_000000035028,0.982,0.063,0.021,0.547,0.134,0.031,0.014,0.264,0.037,0.0,0.0,0.033,582,8.632,4481,0.25,0.125,0.116,0.017,0.18,0.021,0.019,0.03,0.0,0.0,0.033,0.017,0.045,0.317,0.056,0.074,0.029,0.068,0.044,0.091,0.022,0.0,0.0,0.0,0.021,0.04
OAK003.A0101_carpe_000000009954,0.979,0.082,0.017,0.479,0.073,0.05,0.008,0.255,0.019,0.0,0.0,0.017,466,12.089,2292,0.286,0.088,0.115,0.051,0.033,0.048,0.055,0.033,0.012,0.07,0.036,0.074,0.017,0.246,0.138,0.135,0.1,0.143,0.071,0.074,0.083,0.043,0.014,0.042,0.031,0.065
OAK003.A0101_carpe_000000030331,0.999,0.075,0.033,0.464,0.05,0.009,0.011,0.406,0.026,0.0,0.0,0.024,172,5.311,2140,0.381,0.2,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.364,0.091,0.118,0.118,0.1,0.053,0.0,0.0,0.0,0.0,0.0,0.067
OAK003.A0101_carpe_000000002075,0.972,0.079,0.016,0.527,0.105,0.052,0.009,0.239,0.024,0.0,0.0,0.022,618,12.604,3031,0.279,0.123,0.104,0.053,0.064,0.076,0.069,0.062,0.075,0.081,0.033,0.049,0.026,0.167,0.237,0.037,0.034,0.062,0.121,0.073,0.0,0.0,0.071,0.0,0.085,0.052
OAK003.A0101_carpe_000000024450,0.983,0.058,0.022,0.448,0.022,0.013,0.003,0.274,0.008,0.0,0.0,0.007,210,7.041,2013,0.36,0.286,0.091,0.067,0.074,0.0,0.045,0.056,0.043,0.0,0.0,0.036,0.0,0.2,0.069,0.088,0.056,0.0,0.03,0.03,0.0,0.0,0.028,0.0,0.0,0.029
OAK003.A0101_carpe_000000010796,0.992,0.066,0.022,0.566,0.078,0.031,0.009,0.293,0.024,0.0,0.0,0.021,431,21.49,1274,0.462,0.138,0.048,0.062,0.045,0.185,0.0,0.081,0.0,0.028,0.03,0.0,0.045,0.186,0.188,0.05,0.047,0.027,0.023,0.044,0.03,0.0,0.024,0.0,0.039,0.032
OAK003.A0101_carpe_000000000312,0.985,0.094,0.025,0.253,0.1,0.016,0.035,0.278,0.04,0.0,0.0,0.04,171,8.862,1108,0.31,0.095,0.261,0.033,0.042,0.179,0.132,0.061,0.0,0.042,0.077,0.036,0.0,0.271,0.25,0.2,0.056,0.065,0.12,0.053,0.0,0.069,0.056,0.024,0.0,0.0
OAK003.A0101_carpe_000000025941,0.962,0.048,0.017,0.566,0.049,0.02,0.004,0.225,0.012,0.0,0.0,0.01,279,13.151,1420,0.17,0.111,0.05,0.0,0.019,0.0,0.038,0.0,0.0,0.037,0.0,0.0,0.039,0.297,0.128,0.056,0.059,0.053,0.024,0.0,0.065,0.04,0.03,0.034,0.0,0.031
OAK003.A0101_carpe_000000021811,0.988,0.075,0.024,0.426,0.124,0.03,0.019,0.284,0.043,0.0,0.0,0.039,236,12.595,1097,0.25,0.292,0.062,0.049,0.0,0.0,0.0,0.16,0.0,0.029,0.062,0.065,0.036,0.25,0.27,0.053,0.05,0.079,0.081,0.026,0.048,0.027,0.025,0.026,0.0,0.043
OAK003.A0101_carpe_000000005123,0.993,0.091,0.022,0.442,0.078,0.048,0.011,0.298,0.026,0.0,0.0,0.024,393,21.643,1208,0.273,0.214,0.118,0.07,0.12,0.128,0.078,0.029,0.0,0.04,0.026,0.067,0.087,0.333,0.192,0.088,0.091,0.032,0.061,0.04,0.033,0.0,0.103,0.029,0.038,0.071
OAK003.A0101_carpe_000000009242,0.952,0.049,0.018,0.452,0.089,0.014,0.01,0.219,0.024,0.0,0.0,0.022,287,6.724,2722,0.2,0.244,0.088,0.042,0.021,0.022,0.0,0.064,0.0,0.05,0.0,0.023,0.029,0.2,0.071,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.069,0.0,0.0
OAK003.A0101_carpe_000000017442,0.941,0.058,0.016,0.419,0.079,0.025,0.009,0.206,0.02,0.0,0.0,0.018,313,9.977,1924,0.196,0.222,0.091,0.0,0.037,0.028,0.042,0.057,0.021,0.029,0.043,0.0,0.0,0.2,0.037,0.13,0.062,0.0,0.056,0.028,0.028,0.077,0.0,0.054,0.023,0.029
OAK003.A0101_carpe_000000017843,0.987,0.09,0.025,0.288,0.101,0.022,0.028,0.279,0.04,0.0,0.0,0.039,241,13.38,1098,0.296,0.053,0.167,0.105,0.077,0.0,0.059,0.0,0.0,0.038,0.0,0.0,0.0,0.345,0.158,0.185,0.217,0.115,0.042,0.08,0.088,0.038,0.081,0.053,0.0,0.038
OAK003.A0101_carpe_000000004288,0.977,0.08,0.023,0.303,0.123,0.021,0.028,0.254,0.044,0.0,0.0,0.042,245,10.983,1278,0.208,0.25,0.042,0.125,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.048,0.275,0.237,0.0,0.133,0.128,0.13,0.061,0.0,0.1,0.024,0.0,0.034,0.029
OAK003.A0101_carpe_000000008645,0.974,0.074,0.019,0.442,0.107,0.037,0.013,0.249,0.03,0.0,0.0,0.028,194,10.431,1095,0.195,0.257,0.062,0.057,0.167,0.027,0.049,0.0,0.094,0.05,0.026,0.0,0.056,0.31,0.107,0.04,0.08,0.0,0.033,0.158,0.029,0.0,0.071,0.061,0.0,0.0
OAK003.A0101_carpe_000000007376,0.983,0.095,0.022,0.316,0.118,0.041,0.025,0.266,0.04,0.0,0.0,0.039,403,13.492,1813,0.288,0.344,0.182,0.111,0.044,0.0,0.027,0.135,0.043,0.056,0.047,0.023,0.031,0.103,0.167,0.083,0.0,0.111,0.176,0.0,0.074,0.08,0.087,0.0,0.0,0.176
OAK003.A0101_carpe_000000001842,0.978,0.086,0.02,0.312,0.071,0.032,0.015,0.252,0.024,0.0,0.0,0.023,232,13.68,1071,0.207,0.217,0.13,0.095,0.125,0.077,0.056,0.074,0.0,0.097,0.0,0.037,0.069,0.265,0.24,0.042,0.143,0.083,0.034,0.037,0.029,0.031,0.0,0.08,0.056,0.0
OAK003.A0101_carpe_000000005393,0.981,0.075,0.021,0.409,0.083,0.031,0.012,0.264,0.027,0.0,0.0,0.025,205,10.967,1084,0.067,0.071,0.15,0.038,0.043,0.042,0.053,0.1,0.0,0.1,0.0,0.0,0.042,0.355,0.222,0.136,0.034,0.075,0.03,0.038,0.033,0.069,0.081,0.0,0.03,0.0
OAK003.A0101_carpe_000000009608,0.983,0.057,0.02,0.678,0.104,0.029,0.009,0.274,0.027,0.0,0.0,0.024,155,5.831,1723,0.32,0.062,0.0,0.111,0.053,0.1,0.0,0.0,0.0,0.0,0.042,0.074,0.0,0.227,0.115,0.111,0.04,0.0,0.062,0.0,0.031,0.0,0.08,0.0,0.043,0.0
OAK003.A0101_carpe_000000013779,0.932,0.068,0.015,0.403,0.099,0.037,0.011,0.203,0.023,0.0,0.0,0.021,145,7.816,1253,0.208,0.0,0.053,0.048,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.053,0.2,0.273,0.176,0.08,0.083,0.105,0.043,0.095,0.0,0.133,0.08,0.0,0.077
OAK003.A0101_carpe_000000008172,0.982,0.086,0.025,0.235,0.082,0.0,0.034,0.274,0.035,0.0,0.0,0.035,91,4.421,1277,0.4,0.2,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.143,0.5,0.2,0.167,0.0,0.091,0.0,0.1,0.0,0.0,0.111,0.0
OAK003.A0101_carpe_000000022323,0.99,0.089,0.031,0.443,0.24,0.044,0.035,0.304,0.084,0.0,0.0,0.076,99,4.073,1496,0.273,0.154,0.182,0.125,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.111,0.0,0.333,0.25,0.067,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
OAK003.A0101_carpe_000000010512,0.981,0.068,0.021,0.55,0.123,0.035,0.013,0.274,0.035,0.001,0.001,0.031,79,3.73,1278,0.125,0.083,0.125,0.1,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.385,0.111,0.111,0.0,0.182,0.0,0.2,0.143,0.0,0.111,0.0,0.0,0.0
