reference,predicted_accuracy,null_model_p0,null_model_p0_stdev,damage_model_p,damage_model_p_stdev,damage_model_pmin,damage_model_pmin_stdev,damage_model_pmax,damage_model_pmax_stdev,pvalue,qvalue,RMSE,nb_reads_aligned,coverage,reflen,CtoT-0,CtoT-1,CtoT-2,CtoT-3,CtoT-4,CtoT-5,CtoT-6,CtoT-7,CtoT-8,CtoT-9,CtoT-10,CtoT-11,CtoT-12,GtoA-0,GtoA-1,GtoA-2,GtoA-3,GtoA-4,GtoA-5,GtoA-6,GtoA-7,GtoA-8,GtoA-9,GtoA-10,GtoA-11,GtoA-12
OAK003.A0101_carpe_000000006039,0.987,0.07,0.018,0.357,0.03,0.024,0.005,0.24,0.009,0.0,0.0,0.009,2323,38.404,3641,0.239,0.156,0.067,0.058,0.06,0.035,0.029,0.046,0.026,0.022,0.016,0.017,0.03,0.248,0.167,0.119,0.105,0.071,0.073,0.076,0.022,0.02,0.021,0.038,0.012,0.028
OAK003.A0101_carpe_000000032521,0.999,0.069,0.019,0.405,0.017,0.027,0.002,0.25,0.005,0.0,0.0,0.005,10766,118.46,5717,0.24,0.136,0.082,0.061,0.056,0.04,0.044,0.031,0.025,0.029,0.018,0.028,0.022,0.26,0.174,0.106,0.087,0.059,0.061,0.044,0.032,0.035,0.026,0.029,0.023,0.024
OAK003.A0101_carpe_000000015066,0.994,0.08,0.021,0.594,0.055,0.046,0.006,0.309,0.016,0.0,0.0,0.015,1095,7.889,7816,0.359,0.138,0.08,0.055,0.069,0.062,0.036,0.056,0.037,0.03,0.038,0.012,0.018,0.275,0.123,0.116,0.096,0.112,0.048,0.037,0.045,0.048,0.049,0.034,0.053,0.063
OAK003.A0101_carpe_000000001894,0.985,0.075,0.018,0.432,0.044,0.038,0.005,0.246,0.013,0.0,0.0,0.012,2662,23.829,7027,0.225,0.132,0.077,0.069,0.045,0.053,0.039,0.052,0.005,0.051,0.018,0.031,0.023,0.272,0.157,0.101,0.094,0.076,0.086,0.062,0.044,0.047,0.043,0.02,0.022,0.054
OAK003.A0101_carpe_000000016522,0.98,0.079,0.017,0.365,0.036,0.036,0.005,0.24,0.011,0.0,0.0,0.01,1384,23.047,3952,0.277,0.108,0.145,0.085,0.052,0.069,0.029,0.034,0.018,0.035,0.037,0.027,0.026,0.227,0.164,0.104,0.127,0.073,0.059,0.051,0.051,0.05,0.052,0.042,0.039,0.039
OAK003.A0101_carpe_000000012575,0.973,0.082,0.019,0.248,0.04,0.015,0.012,0.234,0.014,0.0,0.0,0.014,867,16.224,3339,0.22,0.145,0.141,0.093,0.087,0.103,0.03,0.062,0.035,0.034,0.06,0.022,0.02,0.282,0.176,0.132,0.108,0.111,0.076,0.052,0.047,0.021,0.0,0.035,0.031,0.0
OAK003.A0101_carpe_000000028891,0.995,0.073,0.019,0.478,0.043,0.036,0.005,0.271,0.013,0.0,0.0,0.012,1897,54.196,2187,0.272,0.14,0.136,0.072,0.058,0.082,0.05,0.028,0.039,0.043,0.039,0.024,0.042,0.283,0.135,0.094,0.045,0.048,0.056,0.017,0.052,0.016,0.033,0.035,0.025,0.016
OAK003.A0101_carpe_000000026306,0.993,0.081,0.021,0.523,0.054,0.043,0.006,0.303,0.017,0.0,0.0,0.015,366,18.126,1136,0.323,0.236,0.093,0.122,0.127,0.136,0.091,0.02,0.082,0.047,0.068,0.051,0.022,0.281,0.115,0.036,0.058,0.031,0.016,0.018,0.052,0.0,0.016,0.023,0.015,0.055
OAK003.A0101_carpe_000000004964,0.984,0.071,0.017,0.433,0.058,0.036,0.007,0.237,0.016,0.0,0.0,0.014,2067,33.128,3661,0.219,0.138,0.065,0.076,0.048,0.048,0.021,0.063,0.049,0.022,0.021,0.033,0.023,0.252,0.171,0.062,0.108,0.081,0.062,0.045,0.04,0.042,0.025,0.045,0.04,0.024
OAK003.A0101_carpe_000000003057,0.984,0.056,0.019,0.557,0.045,0.023,0.005,0.263,0.013,0.0,0.0,0.011,1000,8.922,7385,0.238,0.123,0.033,0.045,0.066,0.018,0.024,0.015,0.008,0.009,0.017,0.016,0.026,0.294,0.114,0.087,0.068,0.054,0.051,0.026,0.032,0.014,0.021,0.006,0.014,0.024
OAK003.A0101_carpe_000000031593,0.987,0.082,0.019,0.448,0.043,0.044,0.005,0.269,0.013,0.0,0.0,0.012,1444,9.49,8624,0.217,0.187,0.109,0.089,0.035,0.05,0.069,0.057,0.059,0.077,0.031,0.041,0.031,0.327,0.137,0.105,0.088,0.094,0.057,0.062,0.055,0.039,0.054,0.02,0.035,0.014
OAK003.A0101_carpe_000000013952,0.989,0.077,0.02,0.374,0.025,0.029,0.004,0.261,0.008,0.0,0.0,0.008,2715,22.916,7402,0.269,0.138,0.096,0.075,0.092,0.036,0.047,0.033,0.015,0.034,0.025,0.036,0.044,0.259,0.201,0.135,0.092,0.085,0.052,0.027,0.041,0.038,0.034,0.027,0.03,0.03
OAK003.A0101_carpe_000000013975,0.995,0.085,0.022,0.483,0.039,0.041,0.005,0.314,0.014,0.0,0.0,0.012,1491,9.733,8695,0.317,0.164,0.143,0.104,0.058,0.042,0.081,0.027,0.013,0.021,0.022,0.063,0.035,0.317,0.187,0.072,0.07,0.074,0.073,0.073,0.048,0.038,0.04,0.034,0.032,0.057
OAK003.A0101_carpe_000000019041,0.966,0.054,0.016,0.438,0.016,0.02,0.002,0.215,0.004,0.0,0.0,0.004,1825,16.288,7536,0.238,0.114,0.086,0.052,0.037,0.035,0.023,0.031,0.031,0.031,0.017,0.014,0.025,0.185,0.146,0.081,0.054,0.053,0.013,0.016,0.014,0.026,0.008,0.013,0.037,0.016
OAK003.A0101_carpe_000000003166,0.997,0.07,0.019,0.416,0.017,0.028,0.002,0.256,0.005,0.0,0.0,0.005,8039,84.086,5899,0.238,0.114,0.085,0.078,0.053,0.043,0.037,0.027,0.027,0.027,0.028,0.031,0.016,0.275,0.189,0.106,0.089,0.054,0.053,0.045,0.033,0.034,0.034,0.026,0.028,0.027
OAK003.A0101_carpe_000000013397,0.992,0.081,0.019,0.383,0.028,0.035,0.004,0.265,0.009,0.0,0.0,0.009,5432,20.613,16469,0.28,0.21,0.134,0.079,0.072,0.062,0.046,0.056,0.048,0.03,0.027,0.032,0.047,0.233,0.167,0.11,0.07,0.047,0.064,0.053,0.034,0.046,0.046,0.017,0.037,0.048
OAK003.A0101_carpe_000000027527,0.972,0.068,0.016,0.37,0.029,0.028,0.004,0.217,0.008,0.0,0.0,0.007,1380,28.875,2897,0.232,0.16,0.112,0.075,0.051,0.058,0.031,0.013,0.03,0.032,0.038,0.019,0.043,0.188,0.157,0.076,0.081,0.066,0.039,0.048,0.043,0.044,0.039,0.055,0.02,0.015
OAK003.A0101_carpe_000000014058,0.994,0.069,0.02,0.442,0.023,0.027,0.003,0.268,0.007,0.0,0.0,0.007,2807,50.251,3476,0.279,0.197,0.113,0.073,0.048,0.053,0.031,0.03,0.024,0.018,0.029,0.034,0.039,0.239,0.148,0.078,0.044,0.036,0.034,0.038,0.026,0.025,0.027,0.025,0.032,0.034
OAK003.A0101_carpe_000000002295,0.99,0.067,0.017,0.453,0.037,0.032,0.004,0.237,0.01,0.0,0.0,0.009,3052,51.191,3677,0.241,0.151,0.068,0.079,0.051,0.054,0.036,0.022,0.05,0.018,0.015,0.017,0.035,0.241,0.129,0.082,0.095,0.053,0.042,0.046,0.042,0.029,0.045,0.026,0.037,0.021
OAK003.A0101_carpe_000000025550,0.982,0.064,0.016,0.456,0.022,0.031,0.002,0.228,0.006,0.0,0.0,0.005,2640,32.998,4969,0.226,0.113,0.066,0.077,0.05,0.05,0.043,0.04,0.022,0.056,0.028,0.042,0.023,0.231,0.158,0.1,0.054,0.047,0.044,0.034,0.044,0.024,0.022,0.018,0.028,0.032
OAK003.A0101_carpe_000000030615,0.981,0.072,0.018,0.434,0.033,0.033,0.004,0.249,0.009,0.0,0.0,0.009,1360,16.257,5473,0.242,0.146,0.137,0.06,0.058,0.047,0.038,0.036,0.062,0.022,0.022,0.006,0.035,0.249,0.166,0.101,0.071,0.031,0.033,0.036,0.033,0.047,0.039,0.056,0.041,0.042
OAK003.A0101_carpe_000000009684,0.982,0.08,0.019,0.386,0.039,0.036,0.006,0.259,0.012,0.0,0.0,0.012,984,7.726,7153,0.265,0.217,0.101,0.091,0.073,0.05,0.053,0.069,0.023,0.043,0.036,0.021,0.038,0.261,0.125,0.082,0.116,0.102,0.072,0.027,0.023,0.044,0.029,0.044,0.031,0.039
OAK003.A0101_carpe_000000021701,0.996,0.085,0.023,0.534,0.035,0.044,0.004,0.326,0.012,0.0,0.0,0.011,1041,22.406,2627,0.329,0.176,0.104,0.128,0.096,0.059,0.089,0.042,0.07,0.046,0.025,0.032,0.036,0.328,0.169,0.075,0.052,0.034,0.056,0.045,0.045,0.029,0.036,0.045,0.018,0.043
OAK003.A0101_carpe_000000011347,0.981,0.054,0.019,0.542,0.03,0.021,0.003,0.256,0.009,0.0,0.0,0.008,847,12.175,4530,0.243,0.135,0.086,0.046,0.036,0.026,0.018,0.017,0.039,0.0,0.024,0.025,0.028,0.271,0.138,0.038,0.028,0.037,0.036,0.019,0.019,0.01,0.032,0.009,0.0,0.054
OAK003.A0101_carpe_000000002895,0.986,0.061,0.022,0.595,0.124,0.029,0.012,0.277,0.035,0.0,0.0,0.031,453,10.497,2814,0.254,0.184,0.017,0.036,0.0,0.045,0.032,0.047,0.038,0.017,0.044,0.051,0.04,0.275,0.206,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.067,0.1
OAK003.A0101_carpe_000000004125,0.993,0.072,0.024,0.496,0.06,0.028,0.008,0.313,0.022,0.0,0.0,0.02,353,9.897,2342,0.318,0.159,0.188,0.026,0.062,0.083,0.027,0.0,0.022,0.027,0.0,0.047,0.086,0.323,0.111,0.045,0.1,0.042,0.034,0.037,0.033,0.0,0.0,0.0,0.036,0.03
OAK003.A0101_carpe_000000005742,0.994,0.08,0.021,0.562,0.088,0.045,0.01,0.3,0.026,0.0,0.0,0.023,547,27.932,1274,0.326,0.158,0.053,0.057,0.067,0.125,0.023,0.025,0.0,0.085,0.059,0.0,0.114,0.276,0.191,0.057,0.093,0.071,0.038,0.056,0.044,0.0,0.056,0.039,0.032,0.043
OAK003.A0101_carpe_000000000327,0.984,0.092,0.024,0.269,0.088,0.02,0.027,0.275,0.034,0.0,0.0,0.034,200,9.298,1232,0.324,0.111,0.241,0.032,0.065,0.176,0.122,0.051,0.031,0.033,0.065,0.031,0.0,0.255,0.237,0.182,0.07,0.051,0.094,0.049,0.0,0.061,0.051,0.021,0.027,0.0
OAK003.A0101_carpe_000000005074,0.989,0.082,0.022,0.375,0.084,0.033,0.014,0.273,0.029,0.0,0.0,0.027,439,23.051,1224,0.203,0.233,0.108,0.06,0.065,0.085,0.069,0.0,0.0,0.0,0.0,0.082,0.083,0.4,0.2,0.107,0.069,0.069,0.121,0.032,0.081,0.0,0.057,0.0,0.036,0.031
OAK003.A0101_carpe_000000028725,0.981,0.081,0.021,0.355,0.059,0.029,0.011,0.269,0.021,0.0,0.0,0.02,241,5.383,2477,0.222,0.152,0.068,0.162,0.042,0.0,0.05,0.026,0.073,0.062,0.023,0.026,0.07,0.323,0.258,0.147,0.077,0.143,0.026,0.026,0.075,0.028,0.0,0.024,0.0,0.028
OAK003.A0101_carpe_000000012791,0.96,0.084,0.02,0.219,0.091,0.01,0.034,0.231,0.031,0.0,0.0,0.031,213,5.341,2287,0.22,0.182,0.097,0.028,0.064,0.128,0.026,0.024,0.05,0.038,0.0,0.056,0.034,0.265,0.188,0.185,0.107,0.111,0.2,0.053,0.088,0.067,0.0,0.026,0.0,0.0
OAK003.A0101_carpe_000000030589,0.905,0.042,0.014,0.575,0.11,0.02,0.007,0.183,0.021,0.0,0.0,0.019,313,6.586,3111,0.152,0.053,0.07,0.0,0.043,0.0,0.054,0.0,0.045,0.049,0.026,0.023,0.056,0.2,0.146,0.039,0.0,0.021,0.0,0.02,0.0,0.0,0.066,0.0,0.0,0.024
OAK003.A0101_carpe_000000004258,0.984,0.081,0.024,0.334,0.122,0.024,0.026,0.274,0.045,0.0,0.0,0.043,225,10.102,1278,0.211,0.267,0.05,0.111,0.0,0.0,0.174,0.045,0.0,0.0,0.0,0.0,0.0,0.297,0.242,0.0,0.146,0.086,0.109,0.067,0.0,0.086,0.024,0.0,0.033,0.029
OAK003.A0101_carpe_000000014865,0.989,0.058,0.023,0.488,0.06,0.015,0.008,0.291,0.021,0.0,0.0,0.019,228,9.326,1569,0.333,0.095,0.2,0.038,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.214,0.0,0.1,0.0,0.0,0.0,0.182,0.0,0.091,0.071,0.0,0.0
OAK003.A0101_carpe_000000008485,0.974,0.074,0.019,0.442,0.107,0.037,0.013,0.249,0.03,0.0,0.0,0.028,194,10.431,1095,0.195,0.257,0.062,0.057,0.167,0.027,0.049,0.0,0.094,0.05,0.026,0.0,0.056,0.31,0.107,0.04,0.08,0.0,0.033,0.158,0.029,0.0,0.071,0.061,0.0,0.0
OAK003.A0101_carpe_000000007255,0.983,0.094,0.022,0.317,0.117,0.04,0.024,0.265,0.039,0.0,0.0,0.038,414,13.94,1813,0.288,0.333,0.182,0.111,0.043,0.0,0.026,0.135,0.041,0.056,0.044,0.023,0.031,0.103,0.167,0.083,0.0,0.111,0.167,0.0,0.074,0.08,0.083,0.0,0.0,0.176
OAK003.A0101_carpe_000000013332,0.932,0.068,0.015,0.403,0.099,0.037,0.011,0.203,0.023,0.0,0.0,0.021,145,7.816,1253,0.208,0.0,0.053,0.048,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.053,0.2,0.273,0.176,0.08,0.083,0.105,0.043,0.095,0.0,0.133,0.08,0.0,0.077
OAK003.A0101_carpe_000000009522,0.884,0.057,0.013,0.402,0.125,0.03,0.011,0.17,0.024,0.002,0.002,0.023,176,11.234,1006,0.182,0.111,0.167,0.0,0.0,0.1,0.074,0.0,0.067,0.087,0.04,0.043,0.056,0.15,0.118,0.056,0.062,0.0,0.067,0.0,0.062,0.0,0.0,0.0,0.0,0.0
